Description,Offense,Punishment,Cognizable,Bailable,Court
Attempt to murder using sharp weapon.,IPC 307,10 years,Cognizable,Non-Bailable,Sessions Court
Threatening messages demanding money.,IPC 420,7 years + Fine,Cognizable,Non-Bailable,Magistrate
A person broke into a house at night and stole valuables.,IPC 323,1 year + Fine,Non-Cognizable,Bailable,Any Magistrate
Fraudulent property documents used to claim land.,IPC 363,7 years,Cognizable,Non-Bailable,Magistrate
Fraudulent property documents used to claim land.,IPC 467,10 years,Cognizable,Non-Bailable,Sessions Court
A person broke into a house at night and stole valuables.,IPC 420,7 years + Fine,Cognizable,Non-Bailable,Magistrate
Assault during a street fight causing injuries.,IPC 363,7 years,Cognizable,Non-Bailable,Magistrate
Cyber bullying and sharing private photos without consent.,IPC 467,10 years,Cognizable,Non-Bailable,Sessions Court
Assault during a street fight causing injuries.,IPC 379,3 years + Fine,Cognizable,Bailable,Any Magistrate
A person broke into a house at night and stole valuables.,IPC 420,7 years + Fine,Cognizable,Non-Bailable,Magistrate
Domestic violence reported by spouse.,IPC 384,3 years + Fine,Cognizable,Non-Bailable,Magistrate
Vehicle theft from parking area.,IPC 384,3 years + Fine,Cognizable,Non-Bailable,Magistrate
Fraudulent property documents used to claim land.,IPC 354,2 years + Fine,Cognizable,Non-Bailable,Magistrate
Cyber bullying and sharing private photos without consent.,IPC 380,7 years + Fine,Cognizable,Non-Bailable,Magistrate
Fraudulent property documents used to claim land.,IPC 363,7 years,Cognizable,Non-Bailable,Magistrate
Threatening messages demanding money.,IPC 380,7 years + Fine,Cognizable,Non-Bailable,Magistrate
Threatening messages demanding money.,IPC 354,2 years + Fine,Cognizable,Non-Bailable,Magistrate
Assault during a street fight causing injuries.,IPC 323,1 year + Fine,Non-Cognizable,Bailable,Any Magistrate
Threatening messages demanding money.,IPC 379,3 years + Fine,Cognizable,Bailable,Any Magistrate
Fraudulent property documents used to claim land.,IPC 363,7 years,Cognizable,Non-Bailable,Magistrate
Assault during a street fight causing injuries.,IPC 323,1 year + Fine,Non-Cognizable,Bailable,Any Magistrate
Vehicle theft from parking area.,IPC 380,7 years + Fine,Cognizable,Non-Bailable,Magistrate
A person broke into a house at night and stole valuables.,IPC 467,10 years,Cognizable,Non-Bailable,Sessions Court
Cyber bullying and sharing private photos without consent.,IPC 420,7 years + Fine,Cognizable,Non-Bailable,Magistrate
Attempt to murder using sharp weapon.,IPC 384,3 years + Fine,Cognizable,Non-Bailable,Magistrate
Vehicle theft from parking area.,IPC 420,7 years + Fine,Cognizable,Non-Bailable,Magistrate
A person broke into a house at night and stole valuables.,IPC 506,2 years,Non-Cognizable,Bailable,Any Magistrate
Threatening messages demanding money.,IPC 354,2 years + Fine,Cognizable,Non-Bailable,Magistrate
Cyber bullying and sharing private photos without consent.,IPC 420,7 years + Fine,Cognizable,Non-Bailable,Magistrate
Cyber bullying and sharing private photos without consent.,IPC 307,10 years,Cognizable,Non-Bailable,Sessions Court
Kidnapping of a minor from public place.,IPC 307,10 years,Cognizable,Non-Bailable,Sessions Court
A person broke into a house at night and stole valuables.,IPC 323,1 year + Fine,Non-Cognizable,Bailable,Any Magistrate
Online fraud where victim was tricked into sharing OTP.,IPC 323,1 year + Fine,Non-Cognizable,Bailable,Any Magistrate
Assault during a street fight causing injuries.,IPC 420,7 years + Fine,Cognizable,Non-Bailable,Magistrate
Cyber bullying and sharing private photos without consent.,IPC 506,2 years,Non-Cognizable,Bailable,Any Magistrate
Vehicle theft from parking area.,IPC 379,3 years + Fine,Cognizable,Bailable,Any Magistrate
Domestic violence reported by spouse.,IPC 420,7 years + Fine,Cognizable,Non-Bailable,Magistrate
Attempt to murder using sharp weapon.,IPC 384,3 years + Fine,Cognizable,Non-Bailable,Magistrate
Cyber bullying and sharing private photos without consent.,IPC 420,7 years + Fine,Cognizable,Non-Bailable,Magistrate
Cyber bullying and sharing private photos without consent.,IPC 506,2 years,Non-Cognizable,Bailable,Any Magistrate
Fraudulent property documents used to claim land.,IPC 323,1 year + Fine,Non-Cognizable,Bailable,Any Magistrate
Threatening messages demanding money.,IPC 379,3 years + Fine,Cognizable,Bailable,Any Magistrate
Threatening messages demanding money.,IPC 506,2 years,Non-Cognizable,Bailable,Any Magistrate
Cyber bullying and sharing private photos without consent.,IPC 380,7 years + Fine,Cognizable,Non-Bailable,Magistrate
Kidnapping of a minor from public place.,IPC 379,3 years + Fine,Cognizable,Bailable,Any Magistrate
Fraudulent property documents used to claim land.,IPC 363,7 years,Cognizable,Non-Bailable,Magistrate
Online fraud where victim was tricked into sharing OTP.,IPC 323,1 year + Fine,Non-Cognizable,Bailable,Any Magistrate
Fraudulent property documents used to claim land.,IPC 354,2 years + Fine,Cognizable,Non-Bailable,Magistrate
A person broke into a house at night and stole valuables.,IPC 323,1 year + Fine,Non-Cognizable,Bailable,Any Magistrate
Domestic violence reported by spouse.,IPC 307,10 years,Cognizable,Non-Bailable,Sessions Court
Attempt to murder using sharp weapon.,IPC 384,3 years + Fine,Cognizable,Non-Bailable,Magistrate
Threatening messages demanding money.,IPC 363,7 years,Cognizable,Non-Bailable,Magistrate
Assault during a street fight causing injuries.,IPC 354,2 years + Fine,Cognizable,Non-Bailable,Magistrate
A person broke into a house at night and stole valuables.,IPC 384,3 years + Fine,Cognizable,Non-Bailable,Magistrate
Vehicle theft from parking area.,IPC 379,3 years + Fine,Cognizable,Bailable,Any Magistrate
Assault during a street fight causing injuries.,IPC 307,10 years,Cognizable,Non-Bailable,Sessions Court
Attempt to murder using sharp weapon.,IPC 363,7 years,Cognizable,Non-Bailable,Magistrate
Threatening messages demanding money.,IPC 384,3 years + Fine,Cognizable,Non-Bailable,Magistrate
Cyber bullying and sharing private photos without consent.,IPC 323,1 year + Fine,Non-Cognizable,Bailable,Any Magistrate
Vehicle theft from parking area.,IPC 379,3 years + Fine,Cognizable,Bailable,Any Magistrate
Vehicle theft from parking area.,IPC 420,7 years + Fine,Cognizable,Non-Bailable,Magistrate
Threatening messages demanding money.,IPC 467,10 years,Cognizable,Non-Bailable,Sessions Court
Threatening messages demanding money.,IPC 506,2 years,Non-Cognizable,Bailable,Any Magistrate
Cyber bullying and sharing private photos without consent.,IPC 420,7 years + Fine,Cognizable,Non-Bailable,Magistrate
Attempt to murder using sharp weapon.,IPC 420,7 years + Fine,Cognizable,Non-Bailable,Magistrate
A person broke into a house at night and stole valuables.,IPC 363,7 years,Cognizable,Non-Bailable,Magistrate
Threatening messages demanding money.,IPC 384,3 years + Fine,Cognizable,Non-Bailable,Magistrate
Vehicle theft from parking area.,IPC 384,3 years + Fine,Cognizable,Non-Bailable,Magistrate
Kidnapping of a minor from public place.,IPC 506,2 years,Non-Cognizable,Bailable,Any Magistrate
Cyber bullying and sharing private photos without consent.,IPC 354,2 years + Fine,Cognizable,Non-Bailable,Magistrate
Online fraud where victim was tricked into sharing OTP.,IPC 420,7 years + Fine,Cognizable,Non-Bailable,Magistrate
Kidnapping of a minor from public place.,IPC 379,3 years + Fine,Cognizable,Bailable,Any Magistrate
A person broke into a house at night and stole valuables.,IPC 363,7 years,Cognizable,Non-Bailable,Magistrate
Threatening messages demanding money.,IPC 363,7 years,Cognizable,Non-Bailable,Magistrate
Threatening messages demanding money.,IPC 354,2 years + Fine,Cognizable,Non-Bailable,Magistrate
Fraudulent property documents used to claim land.,IPC 307,10 years,Cognizable,Non-Bailable,Sessions Court
Online fraud where victim was tricked into sharing OTP.,IPC 380,7 years + Fine,Cognizable,Non-Bailable,Magistrate
Assault during a street fight causing injuries.,IPC 363,7 years,Cognizable,Non-Bailable,Magistrate
Domestic violence reported by spouse.,IPC 467,10 years,Cognizable,Non-Bailable,Sessions Court
Online fraud where victim was tricked into sharing OTP.,IPC 354,2 years + Fine,Cognizable,Non-Bailable,Magistrate
Attempt to murder using sharp weapon.,IPC 354,2 years + Fine,Cognizable,Non-Bailable,Magistrate
A person broke into a house at night and stole valuables.,IPC 384,3 years + Fine,Cognizable,Non-Bailable,Magistrate
A person broke into a house at night and stole valuables.,IPC 420,7 years + Fine,Cognizable,Non-Bailable,Magistrate
Domestic violence reported by spouse.,IPC 354,2 years + Fine,Cognizable,Non-Bailable,Magistrate
Cyber bullying and sharing private photos without consent.,IPC 307,10 years,Cognizable,Non-Bailable,Sessions Court
Domestic violence reported by spouse.,IPC 307,10 years,Cognizable,Non-Bailable,Sessions Court
Attempt to murder using sharp weapon.,IPC 363,7 years,Cognizable,Non-Bailable,Magistrate
Assault during a street fight causing injuries.,IPC 384,3 years + Fine,Cognizable,Non-Bailable,Magistrate
Vehicle theft from parking area.,IPC 354,2 years + Fine,Cognizable,Non-Bailable,Magistrate
Domestic violence reported by spouse.,IPC 307,10 years,Cognizable,Non-Bailable,Sessions Court
Vehicle theft from parking area.,IPC 323,1 year + Fine,Non-Cognizable,Bailable,Any Magistrate
Cyber bullying and sharing private photos without consent.,IPC 363,7 years,Cognizable,Non-Bailable,Magistrate
Fraudulent property documents used to claim land.,IPC 506,2 years,Non-Cognizable,Bailable,Any Magistrate
Domestic violence reported by spouse.,IPC 323,1 year + Fine,Non-Cognizable,Bailable,Any Magistrate
Assault during a street fight causing injuries.,IPC 379,3 years + Fine,Cognizable,Bailable,Any Magistrate
Threatening messages demanding money.,IPC 467,10 years,Cognizable,Non-Bailable,Sessions Court
Vehicle theft from parking area.,IPC 363,7 years,Cognizable,Non-Bailable,Magistrate
Cyber bullying and sharing private photos without consent.,IPC 379,3 years + Fine,Cognizable,Bailable,Any Magistrate
Attempt to murder using sharp weapon.,IPC 506,2 years,Non-Cognizable,Bailable,Any Magistrate
Domestic violence reported by spouse.,IPC 380,7 years + Fine,Cognizable,Non-Bailable,Magistrate
A person broke into a house at night and stole valuables.,IPC 384,3 years + Fine,Cognizable,Non-Bailable,Magistrate
Fraudulent property documents used to claim land.,IPC 506,2 years,Non-Cognizable,Bailable,Any Magistrate
Online fraud where victim was tricked into sharing OTP.,IPC 380,7 years + Fine,Cognizable,Non-Bailable,Magistrate
Threatening messages demanding money.,IPC 380,7 years + Fine,Cognizable,Non-Bailable,Magistrate
A person broke into a house at night and stole valuables.,IPC 354,2 years + Fine,Cognizable,Non-Bailable,Magistrate
Kidnapping of a minor from public place.,IPC 379,3 years + Fine,Cognizable,Bailable,Any Magistrate
Fraudulent property documents used to claim land.,IPC 363,7 years,Cognizable,Non-Bailable,Magistrate
Vehicle theft from parking area.,IPC 384,3 years + Fine,Cognizable,Non-Bailable,Magistrate
Attempt to murder using sharp weapon.,IPC 354,2 years + Fine,Cognizable,Non-Bailable,Magistrate
Domestic violence reported by spouse.,IPC 380,7 years + Fine,Cognizable,Non-Bailable,Magistrate
Cyber bullying and sharing private photos without consent.,IPC 379,3 years + Fine,Cognizable,Bailable,Any Magistrate
Domestic violence reported by spouse.,IPC 379,3 years + Fine,Cognizable,Bailable,Any Magistrate
Cyber bullying and sharing private photos without consent.,IPC 363,7 years,Cognizable,Non-Bailable,Magistrate
Domestic violence reported by spouse.,IPC 307,10 years,Cognizable,Non-Bailable,Sessions Court
Threatening messages demanding money.,IPC 363,7 years,Cognizable,Non-Bailable,Magistrate
Domestic violence reported by spouse.,IPC 380,7 years + Fine,Cognizable,Non-Bailable,Magistrate
Threatening messages demanding money.,IPC 323,1 year + Fine,Non-Cognizable,Bailable,Any Magistrate
Assault during a street fight causing injuries.,IPC 506,2 years,Non-Cognizable,Bailable,Any Magistrate
Online fraud where victim was tricked into sharing OTP.,IPC 380,7 years + Fine,Cognizable,Non-Bailable,Magistrate
Attempt to murder using sharp weapon.,IPC 506,2 years,Non-Cognizable,Bailable,Any Magistrate
Assault during a street fight causing injuries.,IPC 307,10 years,Cognizable,Non-Bailable,Sessions Court
Online fraud where victim was tricked into sharing OTP.,IPC 354,2 years + Fine,Cognizable,Non-Bailable,Magistrate
Fraudulent property documents used to claim land.,IPC 506,2 years,Non-Cognizable,Bailable,Any Magistrate
Threatening messages demanding money.,IPC 380,7 years + Fine,Cognizable,Non-Bailable,Magistrate
Assault during a street fight causing injuries.,IPC 354,2 years + Fine,Cognizable,Non-Bailable,Magistrate
Attempt to murder using sharp weapon.,IPC 307,10 years,Cognizable,Non-Bailable,Sessions Court
Online fraud where victim was tricked into sharing OTP.,IPC 420,7 years + Fine,Cognizable,Non-Bailable,Magistrate
Cyber bullying and sharing private photos without consent.,IPC 354,2 years + Fine,Cognizable,Non-Bailable,Magistrate
Attempt to murder using sharp weapon.,IPC 380,7 years + Fine,Cognizable,Non-Bailable,Magistrate
Cyber bullying and sharing private photos without consent.,IPC 354,2 years + Fine,Cognizable,Non-Bailable,Magistrate
Online fraud where victim was tricked into sharing OTP.,IPC 380,7 years + Fine,Cognizable,Non-Bailable,Magistrate
Online fraud where victim was tricked into sharing OTP.,IPC 379,3 years + Fine,Cognizable,Bailable,Any Magistrate
Cyber bullying and sharing private photos without consent.,IPC 354,2 years + Fine,Cognizable,Non-Bailable,Magistrate
Vehicle theft from parking area.,IPC 384,3 years + Fine,Cognizable,Non-Bailable,Magistrate
Threatening messages demanding money.,IPC 354,2 years + Fine,Cognizable,Non-Bailable,Magistrate
Cyber bullying and sharing private photos without consent.,IPC 506,2 years,Non-Cognizable,Bailable,Any Magistrate
Assault during a street fight causing injuries.,IPC 354,2 years + Fine,Cognizable,Non-Bailable,Magistrate
Online fraud where victim was tricked into sharing OTP.,IPC 323,1 year + Fine,Non-Cognizable,Bailable,Any Magistrate
Domestic violence reported by spouse.,IPC 384,3 years + Fine,Cognizable,Non-Bailable,Magistrate
Attempt to murder using sharp weapon.,IPC 467,10 years,Cognizable,Non-Bailable,Sessions Court
Threatening messages demanding money.,IPC 467,10 years,Cognizable,Non-Bailable,Sessions Court
A person broke into a house at night and stole valuables.,IPC 323,1 year + Fine,Non-Cognizable,Bailable,Any Magistrate
Vehicle theft from parking area.,IPC 363,7 years,Cognizable,Non-Bailable,Magistrate
Vehicle theft from parking area.,IPC 380,7 years + Fine,Cognizable,Non-Bailable,Magistrate
Assault during a street fight causing injuries.,IPC 354,2 years + Fine,Cognizable,Non-Bailable,Magistrate
Fraudulent property documents used to claim land.,IPC 354,2 years + Fine,Cognizable,Non-Bailable,Magistrate
Assault during a street fight causing injuries.,IPC 379,3 years + Fine,Cognizable,Bailable,Any Magistrate
Cyber bullying and sharing private photos without consent.,IPC 420,7 years + Fine,Cognizable,Non-Bailable,Magistrate
Cyber bullying and sharing private photos without consent.,IPC 363,7 years,Cognizable,Non-Bailable,Magistrate
Threatening messages demanding money.,IPC 323,1 year + Fine,Non-Cognizable,Bailable,Any Magistrate
Domestic violence reported by spouse.,IPC 363,7 years,Cognizable,Non-Bailable,Magistrate
A person broke into a house at night and stole valuables.,IPC 323,1 year + Fine,Non-Cognizable,Bailable,Any Magistrate
Kidnapping of a minor from public place.,IPC 420,7 years + Fine,Cognizable,Non-Bailable,Magistrate
Domestic violence reported by spouse.,IPC 363,7 years,Cognizable,Non-Bailable,Magistrate
Attempt to murder using sharp weapon.,IPC 354,2 years + Fine,Cognizable,Non-Bailable,Magistrate
Domestic violence reported by spouse.,IPC 380,7 years + Fine,Cognizable,Non-Bailable,Magistrate
A person broke into a house at night and stole valuables.,IPC 467,10 years,Cognizable,Non-Bailable,Sessions Court
Assault during a street fight causing injuries.,IPC 380,7 years + Fine,Cognizable,Non-Bailable,Magistrate
Vehicle theft from parking area.,IPC 380,7 years + Fine,Cognizable,Non-Bailable,Magistrate
Threatening messages demanding money.,IPC 506,2 years,Non-Cognizable,Bailable,Any Magistrate
Assault during a street fight causing injuries.,IPC 323,1 year + Fine,Non-Cognizable,Bailable,Any Magistrate
Assault during a street fight causing injuries.,IPC 467,10 years,Cognizable,Non-Bailable,Sessions Court
Assault during a street fight causing injuries.,IPC 380,7 years + Fine,Cognizable,Non-Bailable,Magistrate
Kidnapping of a minor from public place.,IPC 363,7 years,Cognizable,Non-Bailable,Magistrate
Vehicle theft from parking area.,IPC 384,3 years + Fine,Cognizable,Non-Bailable,Magistrate
Cyber bullying and sharing private photos without consent.,IPC 380,7 years + Fine,Cognizable,Non-Bailable,Magistrate
Vehicle theft from parking area.,IPC 363,7 years,Cognizable,Non-Bailable,Magistrate
Assault during a street fight causing injuries.,IPC 506,2 years,Non-Cognizable,Bailable,Any Magistrate
Kidnapping of a minor from public place.,IPC 506,2 years,Non-Cognizable,Bailable,Any Magistrate
Threatening messages demanding money.,IPC 467,10 years,Cognizable,Non-Bailable,Sessions Court
Domestic violence reported by spouse.,IPC 307,10 years,Cognizable,Non-Bailable,Sessions Court
Online fraud where victim was tricked into sharing OTP.,IPC 420,7 years + Fine,Cognizable,Non-Bailable,Magistrate
Kidnapping of a minor from public place.,IPC 467,10 years,Cognizable,Non-Bailable,Sessions Court
Online fraud where victim was tricked into sharing OTP.,IPC 323,1 year + Fine,Non-Cognizable,Bailable,Any Magistrate
Kidnapping of a minor from public place.,IPC 379,3 years + Fine,Cognizable,Bailable,Any Magistrate
A person broke into a house at night and stole valuables.,IPC 307,10 years,Cognizable,Non-Bailable,Sessions Court
Assault during a street fight causing injuries.,IPC 354,2 years + Fine,Cognizable,Non-Bailable,Magistrate
Fraudulent property documents used to claim land.,IPC 384,3 years + Fine,Cognizable,Non-Bailable,Magistrate
Cyber bullying and sharing private photos without consent.,IPC 354,2 years + Fine,Cognizable,Non-Bailable,Magistrate
Cyber bullying and sharing private photos without consent.,IPC 363,7 years,Cognizable,Non-Bailable,Magistrate
A person broke into a house at night and stole valuables.,IPC 420,7 years + Fine,Cognizable,Non-Bailable,Magistrate
A person broke into a house at night and stole valuables.,IPC 506,2 years,Non-Cognizable,Bailable,Any Magistrate
Kidnapping of a minor from public place.,IPC 380,7 years + Fine,Cognizable,Non-Bailable,Magistrate
Attempt to murder using sharp weapon.,IPC 420,7 years + Fine,Cognizable,Non-Bailable,Magistrate
A person broke into a house at night and stole valuables.,IPC 384,3 years + Fine,Cognizable,Non-Bailable,Magistrate
A person broke into a house at night and stole valuables.,IPC 420,7 years + Fine,Cognizable,Non-Bailable,Magistrate
Kidnapping of a minor from public place.,IPC 379,3 years + Fine,Cognizable,Bailable,Any Magistrate
Threatening messages demanding money.,IPC 354,2 years + Fine,Cognizable,Non-Bailable,Magistrate
Fraudulent property documents used to claim land.,IPC 323,1 year + Fine,Non-Cognizable,Bailable,Any Magistrate
Threatening messages demanding money.,IPC 323,1 year + Fine,Non-Cognizable,Bailable,Any Magistrate
Cyber bullying and sharing private photos without consent.,IPC 354,2 years + Fine,Cognizable,Non-Bailable,Magistrate
Kidnapping of a minor from public place.,IPC 363,7 years,Cognizable,Non-Bailable,Magistrate
A person broke into a house at night and stole valuables.,IPC 506,2 years,Non-Cognizable,Bailable,Any Magistrate
Online fraud where victim was tricked into sharing OTP.,IPC 384,3 years + Fine,Cognizable,Non-Bailable,Magistrate
Vehicle theft from parking area.,IPC 420,7 years + Fine,Cognizable,Non-Bailable,Magistrate
Threatening messages demanding money.,IPC 354,2 years + Fine,Cognizable,Non-Bailable,Magistrate
Domestic violence reported by spouse.,IPC 379,3 years + Fine,Cognizable,Bailable,Any Magistrate
Online fraud where victim was tricked into sharing OTP.,IPC 420,7 years + Fine,Cognizable,Non-Bailable,Magistrate
Kidnapping of a minor from public place.,IPC 379,3 years + Fine,Cognizable,Bailable,Any Magistrate
Attempt to murder using sharp weapon.,IPC 307,10 years,Cognizable,Non-Bailable,Sessions Court
Cyber bullying and sharing private photos without consent.,IPC 380,7 years + Fine,Cognizable,Non-Bailable,Magistrate
Vehicle theft from parking area.,IPC 420,7 years + Fine,Cognizable,Non-Bailable,Magistrate
Fraudulent property documents used to claim land.,IPC 506,2 years,Non-Cognizable,Bailable,Any Magistrate
Attempt to murder using sharp weapon.,IPC 307,10 years,Cognizable,Non-Bailable,Sessions Court
Fraudulent property documents used to claim land.,IPC 380,7 years + Fine,Cognizable,Non-Bailable,Magistrate
Vehicle theft from parking area.,IPC 420,7 years + Fine,Cognizable,Non-Bailable,Magistrate
A person broke into a house at night and stole valuables.,IPC 384,3 years + Fine,Cognizable,Non-Bailable,Magistrate
Assault during a street fight causing injuries.,IPC 420,7 years + Fine,Cognizable,Non-Bailable,Magistrate
Assault during a street fight causing injuries.,IPC 307,10 years,Cognizable,Non-Bailable,Sessions Court
Cyber bullying and sharing private photos without consent.,IPC 323,1 year + Fine,Non-Cognizable,Bailable,Any Magistrate
Kidnapping of a minor from public place.,IPC 467,10 years,Cognizable,Non-Bailable,Sessions Court
Kidnapping of a minor from public place.,IPC 506,2 years,Non-Cognizable,Bailable,Any Magistrate
Vehicle theft from parking area.,IPC 323,1 year + Fine,Non-Cognizable,Bailable,Any Magistrate
Vehicle theft from parking area.,IPC 363,7 years,Cognizable,Non-Bailable,Magistrate
Domestic violence reported by spouse.,IPC 354,2 years + Fine,Cognizable,Non-Bailable,Magistrate
Threatening messages demanding money.,IPC 307,10 years,Cognizable,Non-Bailable,Sessions Court
Kidnapping of a minor from public place.,IPC 467,10 years,Cognizable,Non-Bailable,Sessions Court
